Código do Ativo,Sigla do Ativo,CEG do empreendimento,Cód. Parcela de Usina,Parcela de Usina,Tipo de Despacho,Participante do Rateio de Perdas,Fonte de Energia Primária,Combustível*,Submercado,UF,Caracterísitica da Parcela,Participante do MRE,Participante do Regime de Cotas,% de Desconto da Usina,Capacidade da Usina(i) - MW (CAP_T),Garantia Física (ii) MW Médio (GF),"Fator de Operação Comercial (iii) (F_COMERCIALp,j)","Fator de Abatimento de Perdas Internas Instantâneas (F_PDI p,j)",Cód. Perfil,Sigla,Nome Empresarial,Data de Início de Operação Comercial na CCEE,Mês,"Geração no Centro de Gravidade - 
MW médios 
(Gp,j)","Geração em Teste no Centro de Gravidade - MW médios 
(GFT p,j)","Garantia Física no Centro de Gravidade Apurada para Fins de Lastro - MW médios (GFISp,j)","Geração por Segurança Energética (1) 
 MW médios
(G_SE p,j)","Geração por  Restrição de Operação Constrained-On (1)   MW médios 
(G_CONST_ON p,j)","Geração para Manutenção de Reserva Operativa 
MW médios
(G_RESPOP p,j)  ","Geração por Unit Commitment
(G_UNIT p,j)  "
201,FURNAS,UHE.PH.MG.001007-3.01,201,FURNAS COTAS,I - Programada e Despachada,Sim,Hidráulica,Potencial hidráulico,SUDESTE,MG,Operação Normal,Sim,Sim,,972.8,500,1,0.984024578609198,11929,FURNAS FURNAS,FURNAS - CENTRAIS ELETRICAS S.A.,2000-08-01 00:00:00,2023-01-01 00:00:00,395.2162783387097,0,479.6540631196237,0,0,,
201,FURNAS,UHE.PH.MG.001007-3.01,956294,FURNAS FURNAS,I - Programada e Despachada,Sim,Hidráulica,Potencial hidráulico,SUDESTE,MG,Operação Normal,Sim,Não,,243.2,125,1,0.983255552066048,56,FURNAS,FURNAS - CENTRAIS ELETRICAS S.A.,2023-01-01 00:00:00,2023-01-01 00:00:00,98.08068691935483,0,89.78377371505375,0,0,,
202,PEIXOTO,UHE.PH.MG.002038-9.01,202,PEIXOTO,I - Programada e Despachada,Sim,Hidráulica,Potencial hidráulico,SUDESTE,MG,Operação Normal,Sim,Não,,476,299.8,1,0.989624945366026,56,FURNAS,FURNAS - CENTRAIS ELETRICAS S.A.,2000-08-01 00:00:00,2023-01-01 00:00:00,255.59932317876343,0,213.90168604301073,0,0,,
203,ESTREITO (FURNAS),UHE.PH.SP.000917-2.01,203,ESTREITO(FURNAS)COTA,I - Programada e Despachada,Sim,Hidráulica,Potencial hidráulico,SUDESTE,SP,Operação Normal,Sim,Sim,,840,397.76,1,0.992389017424859,11927,FURNAS ESTREITO,FURNAS - CENTRAIS ELETRICAS S.A.,2000-08-01 00:00:00,2023-01-01 00:00:00,388.72388959139784,0,381.68928295833337,0,0,,
203,ESTREITO (FURNAS),UHE.PH.SP.000917-2.01,956759,CARLOS BARRETO LIVRE,I - Programada e Despachada,Sim,Hidráulica,Potencial hidráulico,SUDESTE,SP,Operação Normal,Sim,Não,,210,99.44,1,0.992389017330859,56,FURNAS,FURNAS - CENTRAIS ELETRICAS S.A.,2023-01-01 00:00:00,2023-01-01 00:00:00,97.18097238575268,0,71.45356814381721,0,0,,
204,PORTO COLOMBIA,UHE.PH.MG.002117-2.01,204,PORTO COLOMBIA COTA,I - Programada e Despachada,Não,Hidráulica,Potencial hidráulico,SUDESTE,SP,Operação Normal,Sim,Sim,,256,164.32,1,0.993508159827339,11931,FURNAS PORTO COLOMBIA,FURNAS - CENTRAIS ELETRICAS S.A.,2000-08-01 00:00:00,2023-01-01 00:00:00,133.079923547043,0,163.666518,0,0,,
204,PORTO COLOMBIA,UHE.PH.MG.002117-2.01,956293,PORTO COLÔMBIA,I - Programada e Despachada,Não,Hidráulica,Potencial hidráulico,SUDESTE,SP,Operação Normal,Sim,Não,,64,41.08,1,0.993508159702079,56,FURNAS,FURNAS - CENTRAIS ELETRICAS S.A.,2023-01-01 00:00:00,2023-01-01 00:00:00,33.26998087231183,0,30.339508,0,0,,
205,MARIMBONDO,UHE.PH.MG.001417-6.01,205,MARIMBONDO COTA,I - Programada e Despachada,Sim,Hidráulica,Potencial hidráulico,SUDESTE,MG,Operação Normal,Sim,Sim,,1152,550.96,1,0.988995734125149,11930,FURNAS MARIMBONDO,FURNAS - CENTRAIS ELETRICAS S.A.,2000-08-01 00:00:00,2023-01-01 00:00:00,557.0801463360215,0,529.6682432580645,0,0,,
205,MARIMBONDO,UHE.PH.MG.001417-6.01,956314,MARIMBONDO FURNAS,I - Programada e Despachada,Sim,Hidráulica,Potencial hidráulico,SUDESTE,MG,Operação Normal,Sim,Não,,288,137.74,1,0.988995734251816,56,FURNAS,FURNAS - CENTRAIS ELETRICAS S.A.,2023-01-01 00:00:00,2023-01-01 00:00:00,139.2700365954301,0,98.96941846774193,0,0,,
206,ITUMBIARA (FURNAS),UHE.PH.MG.001194-0.01,206,ITUMBIARA (FURNAS),I - Programada e Despachada,Sim,Hidráulica,Potencial hidráulico,SUDESTE,MG,Operação Normal,Sim,Não,,2082,948.9,1,0.953771343710431,56,FURNAS,FURNAS - CENTRAIS ELETRICAS S.A.,2000-08-01 00:00:00,2023-01-01 00:00:00,8.035242958333333,0,679.2917689569892,0,0,,
207,FUNIL (FURNAS),UHE.PH.RJ.027118-7.01,207,FUNIL (FURNAS) COTA,I - Programada e Despachada,Não,Hidráulica,Potencial hidráulico,SUDESTE,RJ,Operação Normal,Sim,Sim,,172.8,81.92,1,0.995444920739569,11928,FURNAS FUNIL,FURNAS - CENTRAIS ELETRICAS S.A.,2000-08-01 00:00:00,2023-01-01 00:00:00,98.53632163172043,0,81.327084,0,0,,
207,FUNIL (FURNAS),UHE.PH.RJ.027118-7.01,956295,FUNIL FURNAS,I - Programada e Despachada,Não,Hidráulica,Potencial hidráulico,SUDESTE,RJ,Operação Normal,Sim,Não,,43.2,20.48,1,0.995444920867511,56,FURNAS,FURNAS - CENTRAIS ELETRICAS S.A.,2023-01-01 00:00:00,2023-01-01 00:00:00,24.63408040456989,0,15.163476,0,0,,
208,SERRA DA MESA,UHE.PH.GO.002731-6.01,208,SERRA DA MESA,I - Programada e Despachada,Sim,Hidráulica,Potencial hidráulico,SUDESTE,GO,Operação Normal,Sim,Não,,1275,605.7,1,0.990037732267664,56,FURNAS,FURNAS - CENTRAIS ELETRICAS S.A.,2000-08-01 00:00:00,2023-01-01 00:00:00,109.18874420967742,0,432.73771991263436,0,0,,
209,CORUMBA I - FURNAS,UHE.PH.GO.000866-4.01,209,CORUMBA I - COTA,I - Programada e Despachada,Sim,Hidráulica,Potencial hidráulico,SUDESTE,GO,Operação Normal,Sim,Sim,,300,175.6,1,0.99166554199938,11926,FURNAS CORUMBA I,FURNAS - CENTRAIS ELETRICAS S.A.,2000-08-01 00:00:00,2023-01-01 00:00:00,116.37684732258064,0,168.8376995860215,0,0,,
209,CORUMBA I - FURNAS,UHE.PH.GO.000866-4.01,956296,CORUMBÁ I - FURNAS,I - Programada e Despachada,Sim,Hidráulica,Potencial hidráulico,SUDESTE,GO,Operação Normal,Sim,Não,,75,43.9,1,0.991665542048437,56,FURNAS,FURNAS - CENTRAIS ELETRICAS S.A.,2023-01-01 00:00:00,2023-01-01 00:00:00,29.094211854838708,0,31.56160075268817,0,0,,
210,SANTA CRUZ (FURNAS),UTE.GN.RJ.027243-4.01,210,SANTA CRUZ-FURNAS,IA - Programada e Despachada com CVU,Não,Térmica bi-Combustível - gás/óleo,Gás Natural,SUDESTE,RJ,Operação Normal,Não,Não,,436,286,0,0.9945,56,FURNAS,FURNAS - CENTRAIS ELETRICAS S.A.,2000-08-01 03:00:00,2023-01-01 00:00:00,0,0,0,0,0,,
210,SANTA CRUZ (FURNAS),UTE.GN.RJ.027243-4.01,80210,SANTA CRUZ FRN EXP.,IA - Programada e Despachada com CVU,Não,Térmica bi-Combustível - gás/óleo,Gás Natural,SUDESTE,RJ,Exportação,Não,Não,,608,,0,1,56,FURNAS,FURNAS - CENTRAIS ELETRICAS S.A.,2008-05-01 03:00:00,2023-01-01 00:00:00,0,0,0,0,0,,
211,CAMPOS,UTE.GN.RJ.027935-8.01,211,CAMPOS,IA - Programada e Despachada com CVU,Não,Térmica a Óleo,Gás Natural,SUDESTE,RJ,Operação Normal,Não,Não,,25,20.9,0,0.9948,56,FURNAS,FURNAS - CENTRAIS ELETRICAS S.A.,2000-08-01 03:00:00,2023-01-01 00:00:00,0,0,0,0,0,,
212,PA 1+2+3+4+AP. SALES,"UHE.PH.AL.001510-5.01, UHE.PH.BA.002012-5.01, UHE.PH.BA.027048-2.01, UHE.PH.BA.027049-0.01, UHE.PH.BA.027050-4.01",212,PA 1+2+3+4+AP. SALES,I - Programada e Despachada,Sim,Hidráulica,Potencial hidráulico,NORDESTE,BA,Operação Normal,Sim,Sim,,3348.056,1297.723,1,0.993749434910604,11918,CHESF COMPLEXO PAULO AFONSO,COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO,2000-08-01 00:00:00,2023-01-01 00:00:00,1284.9754930725805,0,1249.1192677903227,0,0,,
212,PA 1+2+3+4+AP. SALES,"UHE.PH.AL.001510-5.01, UHE.PH.BA.002012-5.01, UHE.PH.BA.027048-2.01, UHE.PH.BA.027049-0.01, UHE.PH.BA.027050-4.01",889272,PA IaIV+A.S. (Chesf),I - Programada e Despachada,Sim,Hidráulica,Potencial hidráulico,NORDESTE,BA,Operação Normal,Sim,Não,,931.544,361.077,1,0.993749435025665,26,CHESF,COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO,2013-01-01 00:00:00,2023-01-01 00:00:00,357.5300517231183,0,347.5535517446237,0,0,,
214,SANTA LUZIA (CEMIG),CGH.PH.MG.027421-6.01,214,SANTA LUZIA (CEMIG),III - Não Programada e Não Despachada,Não,Hidráulica CGH,Potencial hidráulico,SUDESTE,MG,Operação Normal,Não,Não,50%,0.704,,1,1,2497,CEMIG GERA I5,CEMIG GERACAO E TRANSMISSAO S.A,2001-07-01 03:00:00,2023-01-01 00:00:00,0.3866923413978494,0,0.3866923413978494,0,0,,
216,PICARRAO,CGH.PH.MG.002055-9.01,216,PICARRAO,III - Não Programada e Não Despachada,Não,Hidráulica CGH,Potencial hidráulico,SUDESTE,MG,Operação Normal,Sim,Não,50%,0.8,0.55,1,1,2497,CEMIG GERA I5,CEMIG GERACAO E TRANSMISSAO S.A,2001-07-01 03:00:00,2023-01-01 00:00:00,0.37142779435483875,0,0.790628,0,0,,
217,ITAPARICA,UHE.PH.PE.001174-6.01,217,ITAPARICA,I - Programada e Despachada,Sim,Hidráulica,Potencial hidráulico,NORDESTE,PE,Operação Normal,Sim,Sim,,1157.538,568.751,1,0.993230084089684,11914,CHESF LUIZ GONZAGA,COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO,2000-08-01 03:00:00,2023-01-01 00:00:00,549.8248384690861,0,548.062227719086,0,0,,
217,ITAPARICA,UHE.PH.PE.001174-6.01,889276,Itaparica (Livre),I - Programada e Despachada,Sim,Hidráulica,Potencial hidráulico,NORDESTE,PE,Operação Normal,Sim,Não,,322.062,158.249,1,0.99323008410052,26,CHESF,COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO,2013-01-01 00:00:00,2023-01-01 00:00:00,152.98261557526882,0,152.4925660860215,0,0,,
218,XINGO,UHE.PH.SE.027053-9.01,218,XINGO,I - Programada e Despachada,Sim,Hidráulica,Potencial hidráulico,NORDESTE,SE,Operação Normal,Sim,Sim,,2473.716,1353.268,1,0.994299641077531,11920,CHESF XINGO,COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO,2000-08-01 00:00:00,2023-01-01 00:00:00,1394.6612735524193,0,1304.3729070416666,0,0,,
218,XINGO,UHE.PH.SE.027053-9.01,889277,Xingo (ACL),I - Programada e Despachada,Sim,Hidráulica,Potencial hidráulico,NORDESTE,SE,Operação Normal,Sim,Não,,688.284,376.532,1,0.994299641079043,26,CHESF,COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO,2013-01-01 00:00:00,2023-01-01 00:00:00,388.0492197728495,0,362.9274758817204,0,0,,
219,SOBRADINHO,UHE.PH.BA.002755-3.01,219,SOBRADINHO,I - Programada e Despachada,Sim,Hidráulica,Potencial hidráulico,NORDESTE,BA,Operação Normal,Sim,Não,,1050.3,457.5,1,0.995853827468508,26,CHESF,COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO,2000-08-01 03:00:00,2023-01-01 00:00:00,434.04664464112903,0,439.371113686828,0,0,,
220,BOA ESPERANCA,UHE.PH.PI.000267-4.01,220,BOA ESPERANCA,I - Programada e Despachada,Sim,Hidráulica,Potencial hidráulico,NORDESTE,PI,Operação Normal,Sim,Sim,,185.645,106.552,1,0.995507977849837,11912,CHESF BOA ESPERANCA,COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO,2000-08-01 00:00:00,2023-01-01 00:00:00,135.98773073790323,0,103.23552168413978,0,0,,
220,BOA ESPERANCA,UHE.PH.PI.000267-4.01,889274,Boa Esperança (ACL),I - Programada e Despachada,Sim,Hidráulica,Potencial hidráulico,NORDESTE,PI,Operação Normal,Sim,Não,,51.655,29.648,1,0.99550797733584,26,CHESF,COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO,2013-01-01 00:00:00,2023-01-01 00:00:00,37.837982099462366,0,28.725053620967742,0,0,,
